,concept,pages,level
285,coordinates,"209, 503",1
286,correlation,322,1
287,"correlation coefﬁcient computation, with dot product",324,2
288,"correlation coefﬁcient computation, Pearson correlation coefﬁcient",324,2
289,"correlation coefﬁcient computation, sample correlation coefﬁcient",324,2
290,correlation formula,326,1
291,coset,483,1
292,cosine,"111, 227, 556, 601",1
293,counterexample,"9, 614",1
294,covariance,501,1
295,covariance matrix,501,1
296,Cramer’s Rule,158,1
297,"Cramer, Gabriel",164,1
298,"cross product, and dot product","236, 245",2
299,"cross product, coordinate vectors",236,2
300,"cross product, coordinate-free description",247,2
301,"cross product, deﬁned","236, 244",2
302,"cross product, determinant form","236, 244",2
303,"cross product, Lagrange Identity",245,2
304,properties of cross product,245,2
305,"cross product, right-hand rule",248,2
306,"cross product, shortest distance between nonparallel lines",238,2
307,cryptography,472,1
308,data scaling,326,1
309,"Davis, Philip J.",553,1
310,De Moivre’s Theorem,604,1
311,"De Moivre, Abraham",604,1
312,decoding,483,1
313,deﬁned,68,1
314,deﬁning transformation,59,1
315,degree of the polynomial,"332, 623",1
316,demand matrix,131,1
317,dependent,"273, 345, 358",1
318,dependent lemma,358,1
319,derivative,403,1
320,"Descartes, René",209,1
321,"determinants, ","3, 146",2
322,"determinants, n × n",147,2
323,"determinants, adjugate","81, 160",2
324,"determinants, and eigenvalues",145,2
325,"determinants, and inverses","81, 145",2
326,"determinants, block matrix",154,2
327,"determinants, coefﬁcient matrix",166,2
328,"determinants, cofactor expansion","146, 147, 204",2
329,"determinants, Cramer’s Rule",158,2
330,"determinants, cross product","236, 244",2
331,"determinants, deﬁned","81, 145, 152, 204, 518",2
332,"determinants, inductive method of determination",146,2
333,initial development of determinants,256,2
334,"determinants, notation",145,2
335,"determinants, polynomial interpolation",165,2
336,"determinants, product of matrices (product theorem)","158, 168",2
337,"determinants, similarity invariant",518,2
338,"determinants, square matrices","145, 159",2
339,theory of determinants,35,2
340,"determinants, triangular matrix",154,2
341,"determinants, Vandermonde determinant",167,2
342,"determinants, Vandermonde matrix",153,2
343,deviation,322,1
344,diagonal matrices,"45, 79, 172, 178, 300, 516",1
345,diagonalizable linear operator,557,1
346,diagonalizable matrix,"178, 300, 516",1
347,"diagonalization, completely diagonalized",494,2
348,"diagonalization, described","178, 300",2
349,"diagonalization, eigenvalues","145, 173, 300",2
350,example,171,1
351,general differential systems,199,1
352,linear dynamical systems,182,1
353,matrix,173,1
354,multivariate analysis,501,1
355,orthogonal diagonalization,"424, 557",1
356,quadratic form,487,1
357,test,302,1
358,unitary diagonalization,467,1
359,diagonalization algorithm,181,1
360,diagonalization theorem,489,1
361,diagonalizing matrix,178,1
362,m× n matrices,38,1
363,of two vectors,"213, 334",1
364,differentiable function,"198, 340, 368, 402, 403",1
365,differential equation of order n,"368, 403",1
366,differential equations,"198, 368, 402",1
367,differential system,199,1
368,deﬁned,198,1
369,exponential function,198,1
370,general differential systems,199,1
371,general solution,200,1
372,simplest differential system,198,1
373,differentiation,377,1
374,digits,477,1
375,dilation,63,1
376,dimension,"276, 349, 403",1
377,dimension theorem,"375, 386, 395",1
378,direct proof,611,1
379,direct sum,"360, 528, 536",1
380,directed graphs,75,1
381,direction,211,1
382,direction cosines,"243, 556",1
383,direction vector,218,1
384,discriminant,"491, 606",1
385,distance,"285, 541",1
386,distance function,397,1
387,distance preserving,"251, 564",1
388,distance preserving isometries,564,1
389,distribution,500,1
390,distributive laws,"41, 71",1
391,division algorithm,"473, 625",1
392,dominant eigenvalue,"185, 441",1
393,dominant eigenvector,441,1
394,"dot product, and cross product","236, 245",2
395,"dot product, and matrix multiplication",67,2
396,"dot product, as inner product",537,2
397,"dot product, basic properties",226,2
398,correlation coefﬁcients computation of dot product,324,2
399,"dot product, deﬁned",226,2
400,dot product rule,"55, 67",2
401,"dot product, in set of all ordered ntuples (Rn)","282, 462",2
402,"dot product, inner product space",540,2
403,"dot product, length",541,2
404,"dot product, of two ordered n-tuples",54,2
405,"dot product, of two vectors",226,2
406,computation of dot product,326,2
407,doubly stochastic matrix,142,1
408,dual,512,1
409,dual basis,512,1
410,economic models input-output,128,1
411,economic system,128,1
412,edges,75,1
413,eigenspace,"265, 303, 526, 584",1
414,"eigenvalues, and determinants",145,2
415,"eigenvalues, and diagonalizable matrices",179,2
416,"eigenvalues, and eigenspace","265, 303",2
417,"eigenvalues, and Google PageRank",189,2
418,complex eigenvalues,"177, 306, 444",2
419,"eigenvalues, complex matrix",465,2
420,computation of eigenvalues,441,2
421,"eigenvalues, deﬁned","173, 300",2
422,"eigenvalues, dominant eigenvalue","185, 441",2
