,concept,pages,level
382,page ranking,"470,471,472,473",1
383,parallelepiped,355,1
384,parallelogram rule,38,1
385,parameter,14,1
386,parametrized,14,1
387,partial pivoting,74,1
388,partition,,1
389,"partition, isomorphism classes",184,2
390,"partition, matrix equivalence classes","270,272",2
391,"partition, row equivalence classes",53,2
392,permutation,341,1
393,"permutation, inversions",347,2
394,"permutation, matrix",248,2
395,signum,349,2
396,permutation expansion,"342,346,372",2
397,permutation matrix,341,2
398,perp of a subspace,288,1
399,perpendicular,46,1
400,perspective triangles,387,1
401,physical dimension,165,1
402,pivoting,51,1
403,"pivoting, full",74,2
404,"pivoting, partial",75,2
405,plane ﬁgure,319,1
406,"plane ﬁgure, congruence",319,2
407,point,,1
408,"point, at inﬁnity",386,2
409,odd function,"105,150",1
410,"odd function, in projective plane","383,392",2
411,polynomial,398,1
412,"polynomial, associated with recurrence",478,2
413,"polynomial, constant",398,2
414,"polynomial, degree",398,2
415,"polynomial, division theorem",398,2
416,"polynomial, even",463,2
417,"polynomial, factor",399,2
418,"polynomial, irreducible",399,2
419,"polynomial, leading coeﬃcient",398,2
420,"polynomial, minimal",441,2
421,"polynomial, multiplicity",399,2
422,"polynomial, of map matrix",440,2
423,"polynomial, root of",399,2
424,populations stable,"468,469",1
425,"potential, electric",76,1
426,powers method of,"464,465,467",1
427,preserves structure,191,1
428,probability vector,314,1
429,projection,"191,201,275,294,447",1
430,"projection, along a subspace",286,2
431,"projection, central",381,2
432,vanishing point,380,3
433,"projection, into a line",276,2
434,"projection, into a subspace",286,2
435,"projection, orthogonal","276,288",2
436,projective geometry,"380,381,382,383,384,000,000,000,000,000,000,000",1
437,projective plane,,1
438,"projective plane, lines",385,2
439,"projective plane, ideal line",386,2
440,"projective plane, ideal point",386,2
441,projective transformation,396,1
442,proper subspace,97,1
443,rank,"140,225",1
444,"rank, column",137,2
445,"rank, of a homomorphism","200,205",2
446,recurrence,"364,474,476",1
447,"reccurence, associated polynomial",478,2
448,"reccurence, initial conditions",476,2
449,recurrence relation,"474,475,476,477,478,000,000,000",1
450,reduced echelon form,51,1
451,reﬂection,"303,322",1
452,reflection glide,323,2
453,reﬂection (or ﬂip) about a line,178,1
454,relashionship,,1
455,linear relationship,110,2
456,representation,,1
457,representation of a matrix,214,2
458,representation of a vector,124,2
459,representative,,1
460,representative for row equivalence classes,61,2
461,representative of matrix equivalence classes,271,2
462,representative of similarity classes,456,2
463,rescaling rows,5,1
464,resistance,76,1
465,resistance:equivalent,80,1
466,resistor,77,1
467,rigid motion,319,1
468,root,399,1
469,rotation,"302,322,393",1
470,rotation (or turning),178,1
471,represented rotation,217,2
472,row,15,1
473,"row, rank",136,1
474,row vector,16,1
475,range space,200,1
476,row equivalence,53,1
477,row rank,136,1
478,row space,136,1
479,Rule of Sarrus,379,1
480,similar matrices,404,1
481,similar triangles,323,1
482,similarity,"402,403,404,405,406,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1
483,similarity transformation,423,1
484,single precision,72,1
485,singular,,1
486,singular homomorphism,227,2
487,singular matrix,30,2
488,sink link,471,1
489,size,"356,358",1
490,skew-symmetric,345,1
491,span,"27,100",1
492,"span, of a singleton",105,2
493,spanned by,27,1
494,sparse matrix,464,1
495,spin,162,1
496,square root,463,1
497,stable populations,"468,469",1
498,standard basis,"122,401",1
499,"standard basis, complex number scalars",401,2
500,state,313,1
501,Statics problem,"1,5",1
502,stochastic matrix,"314,473",1
503,string,431,1
504,"string, of basis vectors",429,2
505,structure preservation,191,1
506,submatrix,336,1
507,subspace,"96,97,98,99,100,101,102,103,104,105,106,107",1
508,"subspace, closed",98,2
509,"subspace, complementary",148,2
510,"subspace, invariant",456,2
511,"subspace, proper",97,2
512,"subspace, trivial",97,2
513,sum,,1
