concept,links,dep_articles
Sampling (statistics),"[(3, 'Statistics', 0, 0), (15, 'Quality assurance', 0, 0), (38, 'Statistical survey', 0, 0), (148, 'Population (statistics)', 0, 0), (505, 'Observation', 1, 4), (634, 'Survey sampling', 1, 5), (735, 'Stratified sampling', 1, 5), (772, 'Probability theory', 1, 5), (795, 'Statistical theory', 1, 5), (957, 'Acceptance sampling', 1, 5), (1050, 'Specification', 1, 5)]","['Quality assurance', 'Statistical survey', 'Population (statistics)']"
Scalar curvature,"[(29, 'Riemannian geometry', 0, 0), (113, 'Curvature of Riemannian manifolds', 0, 0), (128, 'Riemannian manifold', 0, 0), (209, 'Real number', 0, 1), (339, 'Partial derivative', 0, 2), (496, 'Differential geometry of surfaces', 0, 3), (565, 'Gaussian curvature', 0, 3), (737, 'Riemann curvature tensor', 0, 4), (867, 'Pseudo-Riemannian manifold', 1, 3), (919, 'General relativity', 1, 3), (967, 'Lorentzian metric', 1, 3), (1016, 'Einstein field equations', 1, 3), (1084, 'Lagrangian (field theory)', 1, 3), (1111, 'Einstein%E2%80%93Hilbert action', 1, 3), (1140, 'Euler%E2%80%93Lagrange equation', 1, 3), (1210, 'Vacuum', 1, 3), (1358, 'Positive mass theorem', 2, 4), (1390, 'Richard Schoen', 2, 4), (1409, 'Shing-Tung Yau', 2, 4), (1465, 'Edward Witten', 2, 4), (1540, 'Mikhael Gromov (mathematician)', 2, 4), (1559, 'Blaine Lawson', 2, 4), (1635, 'Closed manifold', 2, 4), (1736, 'Grigori Perelman', 2, 4), (1771, 'Ricci flow with surgery', 2, 4)]","['Riemannian geometry', 'Curvature of Riemannian manifolds', 'Riemannian manifold']"
Scattering,"[(441, 'Light', 1, 2), (450, 'Sound', 1, 2), (495, 'Trajectory', 1, 2), (716, 'Law of reflection', 1, 3), (981, 'Isaac Newton', 1, 5), (1118, 'William Herschel', 1, 6), (1243, 'John Tyndall', 1, 7), (1436, 'Cathode ray', 1, 9), (1559, 'Ernest Rutherford', 1, 10), (1855, 'Particle collision', 2, 2), (1910, 'Electron', 2, 2), (1968, 'Cosmic ray', 2, 2), (2050, 'Particle accelerator', 2, 2), (2132, 'Neutron scattering', 2, 2), (2158, 'Nuclear reactor', 2, 2), (2344, 'Particle', 3, 2), (2355, 'Liquid bubble', 3, 2), (2364, 'Droplet', 3, 2), (2374, 'Density', 3, 2), (2398, 'Fluid', 3, 2), (2406, 'Crystallite', 3, 2), (2422, 'Polycrystal', 3, 2), (2457, 'Monocrystal', 3, 2), (2481, 'Surface roughness', 3, 2), (2500, 'Cell (biology)', 3, 2), (2532, 'Fiber', 3, 2), (2688, 'Scattering theory', 3, 2), (2796, 'Medical ultrasound', 4, 3), (2816, 'Semiconductor wafer', 4, 3), (2848, 'Polymerization', 4, 3), (2930, 'Computer-generated imagery', 4, 3), (3027, 'Particle physics', 4, 3), (3045, 'Atomic, molecular, and optical physics', 4, 3), (3085, 'Nuclear physics', 4, 3), (3105, 'Astrophysics', 4, 3), (3122, 'Particle Physics', 4, 3), (3244, 'S-Matrix', 4, 3), (3282, 'John Archibald Wheeler', 4, 3), (3309, 'Werner Heisenberg', 4, 3), (3397, 'Cross section (physics)', 5, 1), (3427, 'Attenuation coefficient', 5, 1), (3457, 'Bidirectional scattering distribution function', 5, 1), (3512, 'S-matrix', 5, 1), (3528, 'Mean free path', 5, 1)]","['Light', 'Sound', 'Trajectory']"
Schur's theorem,"[(3, 'Discrete mathematics', 0, 0), (59, 'Theorem', 0, 0), (75, 'Mathematician', 0, 0), (89, 'Issai Schur', 0, 0), (105, 'Differential geometry', 0, 1), (160, 'https://de.wikipedia.orgAxel Schur', 0, 1), (175, 'Functional analysis', 0, 2), (228, 'Schur%27s property', 0, 2)]","['Discrete mathematics', 'Theorem', 'Mathematician']"
Semidirect product,"[(1298, 'Mathematics', 2, 1), (1327, 'Group theory', 2, 1), (1362, 'Direct product of groups', 2, 1), (1950, 'Finite group', 5, 1), (1969, 'Schur%E2%80%93Zassenhaus theorem', 5, 1), (2102, 'Group extension#Classifying split extensions', 5, 1)]","['Group theory', 'Direct product of groups']"
Series (mathematics),"[(1760, 'Mathematics', 1, 4), (1821, 'Addition', 1, 4), (1950, 'Calculus', 1, 4), (1983, 'Mathematical analysis', 1, 4), (2100, 'Combinatorics', 1, 4), (2123, 'Generating function', 1, 4), (2270, 'Physics', 1, 4), (2279, 'Computer science', 1, 4), (2297, 'Statistics', 1, 4), (2312, 'Finance', 1, 4), (2359, 'Potential infinity', 2, 6), (2380, 'Summation', 2, 6), (2435, 'Paradox', 2, 6), (2497, 'Limit (mathematics)', 2, 6), (2528, 'Zeno%27s paradox', 2, 6), (2546, 'Achilles and the tortoise', 2, 6), (2528, 'Zeno of Elea', 2, 6), (3373, 'Sequence (mathematics)', 3, 2), (3482, 'Summand', 3, 2), (3507, 'Function (mathematics)', 3, 2), (3776, 'Expression (mathematics)', 3, 2), (3891, 'Summation sign', 5, 0), (4128, 'Set (mathematics)', 7, 3), (4196, 'Limit (mathematics)', 7, 3), (4327, 'Infinity', 7, 3), (5322, 'Addition', 10, 2), (5433, 'Ring (mathematics)', 11, 2), (5449, 'Field (mathematics)', 11, 2), (5503, 'Real number', 11, 2), (5577, 'Complex number', 11, 2), (5660, 'Associative algebra', 11, 2), (5778, 'Cauchy product', 11, 2)]","['Addition', 'Calculus', 'Combinatorics', 'Generating function', 'Finance']"
Series expansion,"[(3, 'Mathematics', 0, 0), (67, 'Function (mathematics)', 0, 0), (18, 'Series (mathematics)', 0, 0), (67, 'Function (mathematics)', 0, 0), (380, 'Approximation', 1, 5), (537, 'Partial sum', 1, 6), (613, 'Big O notation', 1, 6), (638, 'Asymptotic expansion', 1, 6), (688, 'Open interval', 1, 6), (740, 'Analytic functions', 1, 6)]","['Function (mathematics)', 'Series (mathematics)', 'Function (mathematics)']"
Seven-dimensional cross product,"[(3, 'Mathematics', 0, 0), (57, 'Bilinear operation', 0, 0), (79, 'Vector (mathematics)', 0, 0), (90, 'Seven-dimensional space', 0, 0), (38, 'Cross product', 0, 0), (369, 'Anticommutativity', 0, 2), (481, 'Jacobi identity', 0, 3), (686, 'Octonion', 0, 4), (741, 'Quaternion', 0, 4), (1142, 'Bivector', 1, 2)]","['Bilinear operation', 'Vector (mathematics)', 'Seven-dimensional space', 'Cross product']"
Shannon number,"[(59, 'Claude Shannon', 0, 0), (112, 'Game complexity', 0, 0), (136, 'Chess', 0, 0)]","['Game complexity', 'Chess']"
Shape,"[(23, 'Graphics', 0, 0), (108, 'Surface (mathematics)', 0, 0), (156, 'Color', 0, 0), (163, 'Surface texture', 0, 0), (175, 'Material', 0, 0)]","['Graphics', 'Surface (mathematics)', 'Color', 'Surface texture', 'Material']"
Shear matrix,"[(3, 'Mathematics', 0, 0), (53, 'Elementary matrix', 0, 0), (91, 'Elementary row operations#Row-addition transformations', 0, 0), (24, 'Matrix (mathematics)', 0, 0), (190, 'Identity matrix', 0, 1), (330, 'Shear mapping', 1, 1), (416, 'Vector space', 1, 2), (684, 'Eigenvector', 1, 3)]","['Elementary matrix', 'Elementary row operations#Row-addition transformations', 'Matrix (mathematics)']"
Shift operator,"[(3, 'Mathematics', 0, 0), (34, 'Functional analysis', 0, 0), (194, 'Time series analysis', 0, 1), (295, 'Linear operator', 1, 1), (453, 'Harmonic analysis', 1, 2), (518, 'Almost periodic function#Uniform or Bohr or Bochner almost periodic functions', 1, 2), (545, 'Positive-definite function', 1, 2), (574, 'Derivative', 1, 3), (591, 'Convolution', 1, 3), (694, 'Hardy space', 1, 3), (722, 'Abelian variety', 1, 3), (759, 'Symbolic dynamics', 1, 3), (792, 'Baker%27s map', 1, 3)]",['Functional analysis']
Shift space,"[(3, 'Symbolic dynamics', 0, 0), (45, 'Mathematics', 0, 0), (96, 'Infinity', 0, 0), (105, 'String (computer science)', 0, 0), (145, 'Discrete system', 0, 0), (236, 'Synonym', 0, 1), (291, 'Subshifts of finite type', 0, 2)]","['Symbolic dynamics', 'Infinity', 'String (computer science)', 'Discrete system']"
Sign (mathematics),"[(3, 'Mathematics', 0, 0), (30, 'Real number', 0, 0), (84, 'Negative number', 0, 0), (97, 'Zero', 0, 0), (457, 'Signed zero', 1, 2), (478, 'Floating-point representation', 1, 2), (641, 'Additive inverse', 1, 3), (690, '%E2%88%921', 1, 3), (1083, 'Parity of a permutation', 1, 4), (1116, 'Orientation (vector space)', 1, 4), (1141, 'Clockwise', 1, 4), (1150, 'One sided limit', 1, 4), (1200, '#Other meanings', 1, 4)]","['Real number', 'Negative number', 'Zero']"
Sign function,"[(3, 'Mathematics', 0, 0), (67, 'Latin language', 0, 0), (25, 'Function (mathematics)', 0, 0), (20, 'Sign (mathematics)', 0, 0), (126, 'Real number', 0, 0), (142, 'Mathematical notation', 0, 1)]","['Latin language', 'Function (mathematics)', 'Sign (mathematics)', 'Real number']"
Signed distance function,"[(3, 'Mathematics', 0, 0), (105, 'Orthogonal distance', 0, 0), (151, 'Boundary (topology)', 0, 0), (165, 'Set (mathematics)', 0, 0), (176, 'Metric space', 0, 0), (41, 'Sign (mathematics)', 0, 0), (245, 'Interior (topology)', 0, 0), (57, 'Function (mathematics)', 0, 0)]","['Orthogonal distance', 'Boundary (topology)', 'Set (mathematics)', 'Metric space', 'Sign (mathematics)']"
Similarity invariance,"[(3, 'Linear algebra', 0, 0), (340, 'Matrix (mathematics)', 0, 1), (19, 'Matrix similarity', 0, 0), (401, 'Trace (linear algebra)', 0, 2), (408, 'Determinant', 0, 2), (421, 'Characteristic polynomial', 0, 2), (456, 'Minimal polynomial (linear algebra)', 0, 2), (613, 'Linear operator', 1, 1), (556, 'Basis (linear algebra)', 1, 1), (838, 'Transformation matrix', 1, 1)]",['Matrix similarity']
Simple harmonic motion,"[(1614, 'Mechanics', 2, 2), (1628, 'Physics', 2, 2), (1709, 'Periodic function', 2, 2), (1892, 'Restoring force', 2, 2), (1799, 'Proportionality (mathematics)', 2, 2), (2075, 'Oscillation', 2, 2), (2160, 'Friction', 2, 2), (2182, 'Dissipation', 2, 2), (2197, 'Energy', 2, 2), (2243, 'Mathematical model', 3, 4), (2328, 'Mass', 3, 4), (2338, 'Spring (device)', 3, 4), (2378, 'Elasticity (physics)', 3, 4), (2411, 'Hooke%27s law', 3, 4), (2438, 'Sinusoidal', 3, 4), (2483, 'Resonance', 3, 4), (2587, 'Pendulum', 3, 4), (2649, 'Net force', 3, 4), (2829, 'Small-angle approximation', 3, 4), (2906, 'Molecular vibration', 3, 4), (3054, 'Fourier analysis', 4, 1)]","['Mechanics', 'Periodic function', 'Restoring force', 'Proportionality (mathematics)', 'Oscillation']"
Simplex algorithm,"[(3, 'Optimization (mathematics)', 0, 0), (30, 'George Dantzig', 0, 0), (48, 'Algorithm', 0, 0), (105, 'Linear programming', 0, 0), (187, 'Simplex', 1, 3), (216, 'Theodore Motzkin', 1, 3), (550, 'Polytope', 1, 8), (605, 'System of linear inequalities', 1, 8)]","['Optimization (mathematics)', 'Algorithm', 'Linear programming']"
Singular value decomposition,"[(4, 'Linear algebra', 1, 0), (64, 'Matrix decomposition', 1, 0), (83, 'Real number', 1, 0), (91, 'Complex number', 1, 0), (99, 'Matrix (mathematics)', 1, 0), (126, 'Eigendecomposition', 1, 1), (157, 'Normal matrix', 1, 1), (286, 'Polar decomposition#Matrix polar decomposition', 1, 2), (619, 'Unitary matrix', 2, 0), (744, 'Rectangular diagonal matrix', 2, 2), (962, 'Conjugate transpose', 2, 4), (1102, 'Orthogonal matrix', 2, 4), (1458, 'Singular value', 3, 10), (1535, 'Rank of a matrix', 3, 10), (1686, 'Orthonormal basis', 3, 10), (2988, 'Semi-orthogonal matrix', 5, 3), (2988, 'Semi-orthogonal matrix', 5, 3), (3323, 'Moore%E2%80%93Penrose pseudoinverse', 6, 2), (3386, 'Range of a matrix', 6, 2), (3397, 'Kernel (matrix)', 6, 2), (3480, 'Engineering', 6, 2), (3497, 'Statistics', 6, 2), (3517, 'Signal processing', 6, 2), (3536, 'Least squares', 6, 2), (3571, 'Process control', 6, 2)]","['Matrix decomposition', 'Real number', 'Complex number', 'Matrix (mathematics)']"
Skew-symmetric graph,"[(418, 'Graph theory', 1, 2), (485, 'Directed graph', 1, 2), (508, 'Graph isomorphism', 1, 2), (530, 'Transpose graph', 1, 2), (627, 'Involution (mathematics)', 1, 2), (650, 'Fixed point (mathematics)', 1, 2), (708, 'Bipartite double cover', 1, 2), (734, 'Bidirected graph', 1, 2), (843, '#CITEREFTutte1967', 2, 2), (912, '#CITEREFZelinka1976b', 2, 2), (999, '#CITEREFZaslavsky1991', 2, 2), (1122, 'Matching (graph theory)', 2, 2), (1164, 'Still life (cellular automaton)', 2, 2), (1186, 'Conway%27s Game of Life', 2, 2), (1255, 'Graph drawing', 2, 2), (1281, 'Implication graph', 2, 2), (1330, '2-satisfiability', 2, 2)]","['Graph theory', 'Directed graph', 'Graph isomorphism', 'Transpose graph', 'Involution (mathematics)']"
Slope,"[(43, 'Line (mathematics)', 0, 0), (288, 'Matthew O%27Brien (mathematician)', 0, 1), (392, 'Isaac Todhunter', 0, 1), (480, 'Ratio', 1, 4), (812, 'Surveying', 1, 4), (835, 'Diagram', 1, 4), (972, 'Absolute value', 2, 3), (928, 'Line (mathematics)', 2, 3), (1729, 'Figure of the Earth', 4, 3), (2283, 'Grade (slope)', 7, 1), (2293, 'Gradient', 7, 1), (2306, 'Geography', 7, 1), (2320, 'Civil engineering', 7, 1), (2347, 'Trigonometry', 7, 1), (2401, 'Angle', 7, 1), (2431, 'Trigonometric functions#tangent', 7, 1), (2657, 'Differential calculus', 10, 3), (2702, 'Curve', 10, 3), (2739, 'Tangent', 10, 3), (2975, 'Continuous function', 10, 3), (3010, 'Algebraic expression', 10, 3)]",['Line (mathematics)']
Smith normal form,"[(26, 'Canonical form', 0, 0), (164, 'Principal ideal domain', 0, 0), (232, 'Diagonal matrix', 0, 1), (327, 'Invertible', 0, 1), (625, 'Free module', 0, 3), (680, 'Henry John Stephen Smith', 0, 4)]","['Canonical form', 'Principal ideal domain']"
Snake lemma,"[(34, 'Mathematics', 0, 0), (60, 'Homological algebra', 0, 0), (95, 'Long exact sequence', 0, 0), (151, 'Abelian category', 0, 1), (251, 'Algebraic topology', 0, 1)]","['Homological algebra', 'Long exact sequence']"
Solver,"[(23, 'Mathematical software', 0, 0), (84, 'Computer program', 0, 0), (109, 'Library (computing)', 0, 0)]","['Mathematical software', 'Computer program', 'Library (computing)']"
Spark (mathematics),"[(3, 'Mathematics', 0, 0), (37, 'Linear algebra', 0, 0), (108, 'Matrix (mathematics)', 0, 0), (304, 'Linear independence', 0, 0), (538, 'Error correction code', 0, 2), (562, 'Compressive sensing', 0, 2), (587, 'Matroid theory', 0, 2), (674, 'System of linear equations', 0, 2), (727, 'NP-hard', 1, 1)]","['Matrix (mathematics)', 'Linear independence']"
Sphere,"[(151, 'Ancient Greek language', 2, 0), (206, 'Geometry', 2, 1), (235, 'Solid geometry', 2, 1), (283, 'Circle', 2, 2), (307, 'Locus (mathematics)', 2, 2), (431, 'Centre (geometry)', 2, 3), (548, 'Greek mathematics', 2, 4), (631, 'Mathematics', 3, 6), (716, 'Bubble (physics)', 3, 6), (732, 'Soap bubble', 3, 6), (784, 'Spherical Earth', 3, 6), (831, 'Geography', 3, 6), (850, 'Celestial sphere', 3, 6), (894, 'Astronomy', 3, 6), (934, 'Pressure vessels', 3, 6), (960, 'Curved mirror', 3, 6), (979, 'Lens', 3, 6), (1016, 'Rolling', 3, 6), (1056, 'Ball', 3, 6), (1108, 'Ball bearings', 3, 6)]",['Ancient Greek language']
Spline (mathematics),"[(3, 'Mathematics', 0, 0), (38, 'Function (mathematics)', 0, 0), (55, 'Piecewise', 0, 0), (68, 'Polynomial', 0, 0), (84, 'Interpolation', 0, 1), (108, 'Spline interpolation', 0, 1), (151, 'Polynomial interpolation', 0, 1), (231, 'Degree of a polynomial', 0, 1), (266, 'Runge%27s phenomenon', 0, 1), (312, 'Computer science', 1, 1), (342, 'Computer-aided design', 1, 1), (368, 'Computer graphics', 1, 1), (453, 'Parametric equation', 1, 2), (465, 'Curve', 1, 2), (663, 'Curve fitting', 1, 2), (716, 'Flat spline', 2, 1), (787, 'Technical drawing', 2, 1)]","['Function (mathematics)', 'Piecewise', 'Polynomial']"
Square,"[(250, 'Euclidean geometry', 2, 1), (284, 'Regular polygon', 2, 2), (292, 'Quadrilateral', 2, 2), (363, 'Angle', 2, 2), (374, 'Degree (angle)', 2, 2), (411, 'Right angles', 2, 3), (454, 'Rectangle', 2, 3), (517, 'Regular polygon', 2, 4), (539, 'Internal and external angle', 2, 4), (555, 'Central angle#Central angle of a regular polygon', 2, 4), (574, 'Internal and external angle', 2, 4), (620, 'Diagonals', 2, 4), (669, 'Vertex (geometry)', 2, 4)]","['Regular polygon', 'Quadrilateral', 'Angle', 'Degree (angle)']"
Staircase paradox,"[(3, 'Mathematical analysis', 0, 0), (53, 'Pathological (mathematics)', 0, 0), (87, 'Limit (mathematics)', 0, 0), (138, 'Length', 0, 0), (190, 'Polygonal chain', 0, 1), (212, 'Unit square', 0, 1), (261, 'Line segment', 0, 1), (322, 'Uniform convergence', 0, 1), (455, 'Square root of 2', 0, 2), (565, 'Martin Gardner', 0, 3), (757, 'Smooth curve', 1, 3), (901, 'Arc length', 1, 3), (1097, 'Schwarz lantern', 1, 3), (1181, 'Pointwise convergence', 1, 3), (1443, 'Digital geometry', 2, 1)]","['Mathematical analysis', 'Pathological (mathematics)', 'Limit (mathematics)', 'Length']"
Standard basis,"[(3, 'Mathematics', 0, 0), (87, 'Coordinate vector space', 0, 0), (337, 'Euclidean plane', 0, 1), (434, 'Real number', 0, 1), (655, 'Three-dimensional space', 2, 0), (1106, 'Mathematical notation', 4, 3), (1251, 'Circumflex', 4, 3), (1284, 'Unit vector', 4, 3), (1342, 'Basis (linear algebra)', 5, 1), (1414, 'Linear combination', 5, 1), (1689, 'Scalar (mathematics)', 7, 1), (1823, 'Scalar component', 7, 1), (1867, 'Dimension (linear algebra)', 8, 0), (2132, 'Coordinate', 10, 1), (2202, 'Vector space', 11, 4), (2265, 'Polynomial', 11, 4), (2281, 'Matrix (mathematics)', 11, 4), (2489, 'Monomial', 11, 4), (2522, 'Monomial basis', 11, 4)]",['Coordinate vector space']
State-transition matrix,"[(3, 'Control theory', 0, 0), (82, 'State space representation', 0, 0)]","['Control theory', 'State space representation']"
Stochastic differential equation,"[(1736, 'Differential equation', 1, 2), (1830, 'Stochastic process', 1, 2), (1982, 'Mathematical model', 1, 2), (2036, 'Stock price', 1, 2), (2050, '/w/index.php?title=Random growth model&action=edit&redlink=1', 1, 2), (2113, 'Thermal fluctuations', 1, 2), (2205, 'White noise', 2, 4), (2251, 'Brownian motion', 2, 4), (2287, 'Semimartingale', 2, 4), (2366, 'Jump process', 2, 4), (2386, 'L%C3%A9vy process', 2, 4), (2432, '/w/index.php?title=Random differential equation&action=edit&redlink=1', 2, 4), (2572, 'Differential manifold', 2, 4)]","['Differential equation', 'Stochastic process', 'Mathematical model', 'Stock price', 'Thermal fluctuations']"
Stochastic matrix,"[(42, 'Square matrix', 1, 0), (94, 'Markov chain', 1, 0), (134, 'Nonnegative', 1, 1), (146, 'Real number', 1, 1), (173, 'Probability', 1, 1), (354, 'Andrey Markov', 1, 3), (482, 'Probability theory', 1, 3), (514, 'Mathematical finance', 1, 3), (539, 'Linear algebra', 1, 3), (566, 'Computer science', 1, 3), (587, 'Population genetics', 1, 3), (1019, 'Euclidean vector', 3, 5), (1322, 'Row vector', 3, 5), (1393, 'Column vector', 3, 5)]","['Square matrix', 'Markov chain']"
Straight-line grammar,"[(60, 'Formal grammar', 0, 0)]",['Formal grammar']
Strassen algorithm,"[(3, 'Linear algebra', 0, 0), (55, 'Volker Strassen', 0, 0), (78, 'Matrix multiplication algorithm', 0, 0), (212, 'Asymptotic complexity', 0, 1), (340, 'Computational complexity of matrix multiplication', 0, 2), (408, 'Galactic algorithm', 0, 2), (596, 'Ring (mathematics)', 1, 1), (637, 'Semirings', 1, 1), (656, 'Min-plus matrix multiplication', 1, 1), (668, 'Boolean algebra', 1, 1), (738, '/w/index.php?title=Combinatorial matrix multiplication&action=edit&redlink=1', 1, 1)]",['Matrix multiplication algorithm']
Subtraction,"[(2437, 'Minus sign', 1, 5), (2470, 'Arithmetic#Arithmetic operations', 1, 5), (2503, 'Addition', 1, 5), (2513, 'Multiplication', 1, 5), (2532, 'Division (mathematics)', 1, 5), (2470, 'Arithmetic', 1, 5), (3017, 'Negative number', 1, 5), (3035, 'Fraction (mathematics)', 1, 5), (3046, 'Irrational number', 1, 5), (3066, 'Euclidean vector', 1, 5), (3184, 'If and only if', 2, 3), (3373, 'Anticommutative', 3, 7), (3469, 'Associativity', 3, 7), (3598, '0 (number)', 3, 7), (3607, 'Additive identity', 3, 7), (3750, 'Addition', 3, 7), (3763, 'Multiplication', 3, 7), (3805, 'Mathematical proof', 3, 7), (3846, 'Integers', 3, 7), (3887, 'Real number', 3, 7), (3920, 'Binary operations', 3, 7), (3980, 'Abstract algebra', 3, 7)]","['Multiplication', 'Division (mathematics)', 'Fraction (mathematics)', 'Irrational number']"
Sum,"[(128, 'Addition', 1, 1)]",['Addition']
Summation,"[(2412, 'Mathematics', 1, 2), (2442, 'Addition', 1, 2), (2456, 'Sequence', 1, 2), (2480, 'Number', 1, 2), (2612, 'Function (mathematics)', 1, 2), (2623, 'Vector space', 1, 2), (2632, 'Matrix (mathematics)', 1, 2), (2642, 'Polynomial', 1, 2), (2695, 'Mathematical object', 1, 2), (2728, 'Operation (mathematics)', 1, 2), (2776, 'Infinite sequence', 2, 2), (2806, 'Series (mathematics)', 2, 2), (2842, 'Limit (mathematics)', 2, 2), (3099, 'Associative', 3, 5), (3115, 'Commutative', 3, 5), (3482, 'Function (mathematics)', 4, 6), (3672, 'Natural number', 4, 6), (3777, '#Capital-sigma notation', 4, 6), (3847, 'Greek letter', 4, 6), (3860, 'Sigma', 4, 6), (4121, 'Closed-form expression', 5, 1)]","['Addition', 'Sequence', 'Number', 'Function (mathematics)', 'Vector space']"
Super-recursive algorithm,"[(3, 'Computability theory', 0, 0), (41, 'Algorithm', 0, 0), (147, 'Turing machines', 0, 0), (560, '#Inductive Turing machines', 0, 3), (726, 'Selim Akl', 1, 1), (767, 'Jan van Leeuwen', 1, 1), (784, 'Hava Siegelmann', 1, 1), (1027, 'Church-Turing thesis', 1, 1)]","['Computability theory', 'Algorithm', 'Turing machines']"
Support (mathematics),"[(3, 'Mathematics', 0, 0), (33, 'Real number', 0, 0), (45, 'Function (mathematics)', 0, 0), (89, 'Subset', 0, 0), (112, 'Domain of a function', 0, 0), (223, 'Topological space', 0, 1), (325, 'Closed set', 0, 1), (414, 'Mathematical analysis', 0, 2)]","['Real number', 'Function (mathematics)', 'Subset', 'Domain of a function']"
Support vector machine,"[(1950, 'Machine learning', 1, 8), (2036, 'Supervised learning', 1, 8), (2088, 'Algorithm', 1, 8), (2121, 'Statistical classification', 1, 8), (2140, 'Regression analysis', 1, 8), (2174, 'AT%26T Bell Laboratories', 1, 8), (2200, 'Vladimir Vapnik', 1, 8), (2253, 'Isabelle Guyon', 1, 8), (2273, 'Corinna Cortes', 1, 8), (2209, 'Vladimir Vapnik', 1, 8), (2441, 'VC theory', 1, 8), (2706, 'Probabilistic classification', 1, 8), (2720, 'Binary classifier', 1, 8), (2727, 'Linear classifier', 1, 8), (2771, 'Platt scaling', 1, 8), (3115, 'Linear classifier', 2, 1), (3220, 'Kernel method#Mathematics: the kernel trick', 2, 1), (3359, 'Hava Siegelmann', 3, 2), (3379, 'Vladimir Vapnik', 3, 2), (3562, 'Unsupervised learning', 3, 2), (3626, 'Cluster analysis', 3, 2)]","['Machine learning', 'Supervised learning', 'Algorithm', 'Statistical classification', 'Regression analysis']"
Sustainable Development Goal 4,"[(328, 'Education', 1, 2), (358, 'Sustainable Development Goals', 1, 2), (407, 'United Nations', 1, 2), (479, 'Inclusion (education)', 1, 2), (493, 'Educational equity', 1, 2), (533, 'Lifelong learning', 1, 2), (673, 'Primary education', 2, 2), (685, 'Secondary education', 2, 3), (730, 'Preschool', 2, 3), (775, 'Vocational education', 2, 3), (790, 'Higher education', 2, 3), (898, 'Discrimination in education', 2, 3), (937, 'Literacy', 2, 3), (950, 'Numeracy', 2, 3), (964, 'Education for sustainable development', 2, 3), (790, 'Higher education', 2, 3), (1222, 'Teacher', 2, 3), (1780, 'Primary school', 4, 2)]","['Education', 'Sustainable Development Goals', 'United Nations', 'Inclusion (education)', 'Educational equity']"
Sylvester's law of inertia,"[(32, 'Theorem', 0, 0), (43, 'Matrix algebra', 0, 0), (90, 'Coefficient matrix', 0, 0), (114, 'Real number', 0, 0), (119, 'Quadratic form', 0, 0), (146, 'Invariant (mathematics)', 0, 0), (164, 'Change of basis', 0, 0), (201, 'Symmetric matrix', 0, 1), (492, 'James Joseph Sylvester', 1, 1)]","['Theorem', 'Matrix algebra', 'Coefficient matrix', 'Real number', 'Quadratic form']"
Symmetric tensor,"[(4, 'Mathematics', 0, 0), (29, 'Tensor', 0, 0), (74, 'Permutation', 0, 0), (703, 'Vector space', 4, 4), (721, 'Natural isomorphism', 4, 4), (770, 'Homogeneous polynomial', 4, 4), (818, 'Field (mathematics)', 4, 4), (828, 'Characteristic zero', 4, 4), (853, 'Graded vector space', 4, 4), (935, 'Symmetric algebra', 4, 4), (992, 'Antisymmetric tensor', 4, 4), (1016, 'Alternating form', 4, 4), (1068, 'Engineering', 4, 4), (1081, 'Physics', 4, 4), (1093, 'Mathematics', 4, 4)]","['Tensor', 'Permutation']"
Symmetry in mathematics,"[(29, 'Geometry', 1, 0), (104, 'Invariant (mathematics)', 1, 1), (189, 'Operation (mathematics)', 1, 1), (203, 'Transformation (mathematics)', 1, 1), (266, 'Symmetry', 2, 1), (280, 'Mapping (mathematics)', 2, 1), (447, 'Bijection', 2, 2), (500, 'Permutation group', 2, 2), (577, 'Metric (mathematics)', 2, 5), (607, 'Metric space', 2, 5), (637, 'Bijection', 2, 5), (735, 'Isometry', 2, 5)]","['Invariant (mathematics)', 'Operation (mathematics)', 'Transformation (mathematics)']"
System of differential equations,"[(28, 'Differential equation', 0, 0), (122, 'Linear differential equations', 0, 1), (132, 'Non-linear differential equations', 0, 1), (190, 'Ordinary differential equations', 0, 2), (237, 'Partial differential equations', 0, 2)]",['Differential equation']
Taylor's theorem,"[(1750, 'Calculus', 1, 4), (1813, 'Differentiable function', 1, 4), (1863, 'Polynomial', 1, 4), (1933, 'Smooth function', 1, 4), (2012, 'Taylor series', 1, 4), (2084, 'Linear approximation', 1, 4), (2415, 'Brook Taylor', 2, 1), (2535, '1671 in science', 2, 1), (2543, 'James Gregory (astronomer and mathematician)', 2, 1), (2673, 'Mathematical analysis', 3, 4), (2769, 'Transcendental function', 3, 4), (2806, 'Exponential function', 3, 4), (2831, 'Trigonometric function', 3, 4), (2897, 'Analytic function', 3, 4), (2983, 'Numerical analysis', 3, 4), (3006, 'Mathematical physics', 3, 4), (3065, 'Multivariate function', 3, 4), (3082, 'Vector valued function', 3, 4)]","['Calculus', 'Differentiable function', 'Polynomial', 'Smooth function', 'Taylor series']"
